handle_name,start_date,end_date
tim_cook,2023-10-01T00:00:00+00:00,2023-12-31T23:59:00+00:00
mtbarra,2023-10-01T00:00:00+00:00,2023-12-31T23:59:00+00:00
Benioff,2023-10-01T00:00:00+00:00,2023-12-31T23:59:00+00:00
KarenSLynch,2023-10-01T00:00:00+00:00,2023-12-31T23:59:00+00:00
